*			
Position(mm)	Load(kN)	Strain(-/-)	Time(sec)
4.9	1.67E+01	0.02773	147
4.93	1.68E+01	0.02829	148
4.97	1.69E+01	0.02891	149
5	1.70E+01	0.02964	150
5.03	1.71E+01	0.03015	151
5.07	1.72E+01	0.03071	152
5.1	1.72E+01	0.03138	153
5.13	1.73E+01	0.03213	154
5.17	1.74E+01	0.03262	155
5.2	1.75E+01	0.03329	156
5.23	1.76E+01	0.03396	157
5.27	1.77E+01	0.03463	158
5.3	1.78E+01	0.03525	159
5.33	1.79E+01	0.03592	160
5.37	1.79E+01	0.0367	161
5.4	1.80E+01	0.03726	162
5.43	1.81E+01	0.03791	163
5.47	1.82E+01	0.03868	164
5.5	1.83E+01	0.03936	165
5.53	1.83E+01	0.03997	166
5.57	1.84E+01	0.0407	167
5.6	1.85E+01	0.04148	168
5.63	1.86E+01	0.04215	169
5.67	1.86E+01	0.04282	170
5.7	1.87E+01	0.0436	171
5.73	1.88E+01	0.04443	172
5.77	1.88E+01	0.0451	173
5.8	1.89E+01	0.04574	174
5.83	1.90E+01	0.04658	175
5.87	1.90E+01	0.04736	176
5.9	1.91E+01	0.04808	177
5.93	1.91E+01	0.04872	178
5.97	1.92E+01	0.0495	179
6	1.93E+01	0.05039	180
6.03	1.93E+01	0.05117	181
6.07	1.94E+01	0.05187	182
6.1	1.94E+01	0.05262	183
6.13	1.95E+01	0.05353	184
6.17	1.95E+01	0.05433	185
6.2	1.96E+01	0.05503	186
6.23	1.96E+01	0.05578	187
6.27	1.97E+01	0.05664	188
6.3	1.97E+01	0.05756	189
6.33	1.98E+01	0.05836	190
6.37	1.98E+01	0.05903	191
6.4	1.99E+01	0.05997	192
6.43	1.99E+01	0.06091	193
6.47	1.99E+01	0.06164	194
6.5	2.00E+01	0.06239	195
6.53	2.00E+01	0.06335	196
6.57	2.01E+01	0.06424	197
6.6	2.01E+01	0.06499	198
6.63	2.01E+01	0.0658	199
6.67	2.02E+01	0.06671	200
6.7	2.02E+01	0.06762	201
6.73	2.02E+01	0.0684	202
6.77	2.03E+01	0.06931	203
6.8	2.03E+01	0.07028	204
6.83	2.03E+01	0.07106	205
6.87	2.04E+01	0.07184	206
6.9	2.04E+01	0.07283	207
6.93	2.04E+01	0.07382	208
6.97	2.05E+01	0.07452	209
7	2.05E+01	0.07544	210
7.03	2.05E+01	0.07648	211
7.07	2.05E+01	0.07731	212
7.1	2.06E+01	0.07812	213
7.13	2.06E+01	0.07919	214
7.17	2.06E+01	0.08011	215
7.2	2.06E+01	0.08091	216
7.23	2.07E+01	0.0819	217
7.27	2.07E+01	0.08293	218
7.3	2.07E+01	0.08373	219
7.33	2.07E+01	0.0847	220
7.37	2.08E+01	0.08572	221
7.4	2.08E+01	0.08655	222
7.43	2.08E+01	0.08746	223
7.47	2.08E+01	0.08856	224
7.5	2.09E+01	0.0895	225
7.53	2.09E+01	0.09031	226
7.57	2.09E+01	0.09135	227
7.6	2.09E+01	0.09237	228
7.63	2.09E+01	0.09321	229
7.67	2.09E+01	0.09425	230
7.7	2.10E+01	0.09535	231
7.73	2.10E+01	0.09621	232
7.77	2.10E+01	0.09718	233
7.8	2.10E+01	0.09815	234
7.83	2.10E+01	0.09927	235
7.87	2.10E+01	0.1002	236
7.9	2.10E+01	0.101	237
7.93	2.11E+01	0.1022	238
7.97	2.11E+01	0.1033	239
8	2.11E+01	0.1041	240
8.03	2.11E+01	0.1051	241
8.07	2.11E+01	0.1062	242
8.1	2.11E+01	0.1072	243
8.13	2.11E+01	0.1081	244
8.17	2.11E+01	0.1091	245
8.2	2.12E+01	0.1103	246
8.23	2.12E+01	0.1112	247
8.27	2.12E+01	0.1122	248
8.3	2.12E+01	0.1133	249
8.33	2.12E+01	0.1145	250
8.37	2.12E+01	0.1153	251
8.4	2.12E+01	0.1163	252
8.43	2.12E+01	0.1175	253
8.47	2.12E+01	0.1185	254
8.5	2.12E+01	0.1195	255
8.53	2.12E+01	0.1206	256
8.57	2.13E+01	0.1217	257
8.6	2.13E+01	0.1227	258
8.63	2.13E+01	0.1238	259
8.67	2.13E+01	0.1249	260
8.7	2.13E+01	0.1259	261
8.73	2.13E+01	0.127	262
8.77	2.13E+01	0.1281	263
8.8	2.13E+01	0.1291	264
8.83	2.13E+01	0.1303	265
8.87	2.13E+01	0.1314	266
8.9	2.13E+01	0.1323	267
8.93	2.13E+01	0.1335	268
8.97	2.13E+01	0.1347	269
9	2.13E+01	0.1357	270
9.03	2.13E+01	0.1369	271
9.07	2.13E+01	0.138	272
9.1	2.13E+01	0.1391	273
9.13	2.13E+01	0.1401	274
9.17	2.13E+01	0.1414	275
9.2	2.13E+01	0.1424	276
9.23	2.13E+01	0.1435	277
9.27	2.13E+01	0.1446	278
9.3	2.13E+01	0.1459	279
9.33	2.13E+01	0.1468	280
9.37	2.13E+01	0.148	281
9.4	2.13E+01	0.1492	282
9.43	2.13E+01	0.1502	283
9.47	2.13E+01	0.1514	284
9.5	2.13E+01	0.1526	285
9.53	2.13E+01	0.1537	286
9.57	2.13E+01	0.1549	287
9.6	2.13E+01	0.1561	288
9.63	2.13E+01	0.1572	289
9.67	2.13E+01	0.1583	290
9.7	2.13E+01	0.1597	291
9.73	2.13E+01	0.1607	292
9.77	2.13E+01	0.1619	293
9.8	2.13E+01	0.1631	294
9.83	2.13E+01	0.1644	295
9.87	2.13E+01	0.1655	296
9.9	2.13E+01	0.1667	297
9.93	2.13E+01	0.1679	298
9.97	2.13E+01	0.1692	299
10	2.13E+01	0.1703	300
10.03	2.13E+01	0.1716	301
10.07	2.13E+01	0.1729	302
10.1	2.13E+01	0.174	303
10.13	2.13E+01	0.1752	304
10.17	2.13E+01	0.1766	305
10.2	2.13E+01	0.1777	306
10.23	2.13E+01	0.1788	307
10.27	2.12E+01	0.1803	308
10.3	2.12E+01	0.1815	309
10.33	2.12E+01	0.1827	310
10.37	2.12E+01	0.184	311
10.4	2.12E+01	0.1853	312
10.43	2.12E+01	0.1865	313
10.47	2.12E+01	0.1878	314
10.5	2.12E+01	0.189	315
10.53	2.12E+01	0.1905	316
10.57	2.11E+01	0.1917	317
10.6	2.11E+01	0.193	318
10.63	2.11E+01	0.1942	319
10.67	2.11E+01	0.1957	320
10.7	2.11E+01	0.1969	321
10.73	2.11E+01	0.1981	322
10.77	2.11E+01	0.1995	323
10.8	2.10E+01	0.2008	324
10.83	2.10E+01	0.2021	325
10.87	2.10E+01	0.2032	326
10.9	2.10E+01	0.2047	327
10.93	2.09E+01	0.206	328
10.97	2.09E+01	0.2074	329
11	2.09E+01	0.2086	330
11.03	2.09E+01	0.2101	331
11.07	2.08E+01	0.2114	332
11.1	2.08E+01	0.2125	333
11.13	2.08E+01	0.214	334
11.17	2.07E+01	0.2153	335
11.2	2.07E+01	0.2166	336
11.23	2.07E+01	0.2178	337
11.27	2.06E+01	0.2193	338
11.3	2.06E+01	0.2207	339
11.33	2.05E+01	0.2219	340
11.37	2.05E+01	0.2232	341
11.4	2.05E+01	0.2246	342
11.43	2.04E+01	0.2259	343
11.47	2.04E+01	0.2272	344
11.5	2.03E+01	0.2286	345
11.53	2.03E+01	0.2301	346
11.57	2.02E+01	0.2313	347
11.6	2.02E+01	0.2326	348
11.63	2.01E+01	0.2341	349
11.67	2.01E+01	0.2354	350
11.7	2.00E+01	0.2366	351
11.73	2.00E+01	0.238	352
11.77	1.99E+01	0.2395	353
11.8	1.98E+01	0.2408	354
11.83	1.98E+01	0.2421	355
11.87	1.97E+01	0.2435	356
11.9	1.96E+01	0.245	357
11.93	1.96E+01	0.2463	358
11.97	1.95E+01	0.2475	359
12	1.94E+01	0.249	360
12.03	1.93E+01	0.2506	361
12.07	1.93E+01	0.2518	362
12.1	1.92E+01	0.2532	363
12.13	1.91E+01	0.2546	364
12.17	1.90E+01	0.256	365
12.2	1.89E+01	0.2573	366
12.23	1.89E+01	0.2588	367
12.27	1.88E+01	0.2603	368
12.3	1.87E+01	0.2616	369
12.33	1.86E+01	0.2628	370
12.37	1.84E+01	0.2644	371
12.39	-2.69E-02	0.08644	372
